"Pond"	"DOY"	"SRP_ugL"
14	229	5.68
14	230	4.84
14	231	9.7
14	233	9.61
14	236	17.26
14	238	12.47
14	240	58.57
14	243	43.82
14	245	36.59
14	247	30.05
14	250	14.28
14	252	12.18
14	254	14.28
14	257	9.17
14	259	12.1
14	261	26.44
14	264	20.49
14	266	17.35
14	268	16.74
15	159	0.97
15	161	0.94
15	163	2.13
15	166	1.52
15	168	0.16
15	170	5.32
15	173	1.77
15	175	1.44
15	177	6.56
15	180	2.15
15	182	1.74
15	184	13.98
15	187	5.8
15	189	5.45
15	191	7.43
15	194	7.08
15	196	3.99
15	198	8.62
15	201	13.03
15	203	9.01
15	205	11.59
15	208	7.44
15	210	8.41
15	212	5.51
15	215	2.48
15	217	5.14
15	219	3.88
15	222	0.17
15	224	3.65
15	226	6.23
15	229	3.44
15	230	1.33
15	231	1.51
15	233	2.77
15	236	7.4
15	238	5.58
15	240	42.24
15	243	43.82
15	245	37.47
15	247	19.08
15	250	4.81
15	252	6.23
15	254	4.81
15	257	2.62
15	259	2.56
15	261	11.11
15	264	5.89
15	266	2.15
15	268	1.29
16	159	1.14
16	161	0.78
16	163	5.94
16	166	2.9
16	168	1.46
16	170	7.74
16	173	4.51
16	175	3.36
16	177	18.08
16	180	4.8
16	182	3.01
16	184	18.64
16	187	6.82
16	189	3.8
16	191	24.92
16	194	5.23
16	196	4.45
16	198	8.77
16	201	6.9
16	203	3.75
16	205	14.07
16	208	4.28
16	210	4.8
16	212	10.7
16	215	5.94
16	217	4.89
16	219	9.87
16	222	2.17
16	224	5.63
16	226	13.84
16	229	10.68
16	230	4.84
16	231	5.35
16	233	11.89
16	236	13.13
16	238	7.22
16	240	41.53
16	243	34.73
16	245	23.9
16	247	8.26
16	250	6.31
16	252	7.61
16	254	6.31
16	257	16.01
16	259	10.11
16	261	21.66
16	264	18.1
16	266	18.07
16	268	14.45
