"Pond"	"DOY"	"SRP_ugL"
3	159	0.97
3	161	0.63
3	163	1.52
3	166	0.61
3	168	0
3	170	0.97
3	173	1.45
3	175	0.48
3	177	5.12
3	180	0.66
3	182	0.79
3	184	2.8
3	187	0.68
3	189	0.17
3	191	0.66
3	194	4
3	196	0.61
3	198	4.77
3	201	3.68
3	203	-0.25
3	205	2.32
3	208	-2.95
3	210	-0.24
3	212	0.32
3	215	0.74
3	217	0.73
3	219	3.88
3	222	-3.85
3	224	0.46
3	226	0.61
3	229	0.86
3	230	0.17
3	231	0.5
3	233	0.16
3	236	4.44
3	238	0.49
3	240	3.87
3	243	1.04
3	245	0.74
3	247	2.55
3	250	-1.05
3	252	0.28
3	254	-1.05
3	257	0
3	259	1.71
3	261	0.98
3	264	1.12
3	266	0
3	268	0.57
4	159	0.81
4	161	0.47
4	163	2.74
4	166	1.83
4	168	0.97
4	170	8.38
4	173	2.26
4	175	1.28
4	177	3.52
4	180	1.16
4	182	0.79
4	184	5.28
4	187	1.19
4	189	0.99
4	191	3.47
4	194	2.46
4	196	1.23
4	198	8.62
4	201	4.14
4	203	2.5
4	205	5.13
4	208	0
4	210	2.4
4	212	3.89
4	215	1.49
4	217	0.98
4	219	1.62
4	222	-2.51
4	224	0.76
4	226	4.11
4	229	1.89
4	230	1.5
4	231	1.34
4	233	2.44
4	236	1.48
4	238	1.31
4	240	20.91
4	243	1.94
4	245	2.51
4	247	3.16
4	250	-0.3
4	252	1.38
4	254	-0.3
4	257	2.62
4	259	1.57
4	261	3.66
4	264	2.25
4	266	1.86
4	268	1.43
7	159	1.79
7	161	0.63
7	163	2.59
7	166	1.22
7	168	0.65
7	170	5.8
7	173	2.26
7	175	1.76
7	177	9.92
7	180	4.31
7	182	3.33
7	184	5.75
7	187	8.36
7	189	3.14
7	191	18.15
7	194	11.08
7	196	7.36
7	198	13.7
7	201	7.2
7	203	2.25
7	205	10.27
7	208	2.68
7	210	4.08
7	212	8.59
7	215	3.47
7	217	2.69
7	219	6.63
7	222	-0.67
7	224	4.11
7	226	12.62
7	229	8.44
7	230	5
7	231	4.52
7	233	10.75
7	236	6.9
7	238	5.58
7	240	54.84
7	243	38.3
7	245	29.65
7	247	9.92
7	250	4.81
7	252	5.12
7	254	4.81
7	257	11.5
7	259	6.12
7	261	13.64
7	264	8.84
7	266	7.89
7	268	7.3
8	159	0.97
8	161	0.63
8	163	1.07
8	166	0.46
8	168	0.16
8	170	4.19
8	173	1.77
8	175	0.96
8	177	4
8	180	1.82
8	182	2.53
8	184	6.83
8	187	2.73
8	189	3.8
8	191	1.16
8	194	2.62
8	196	2.15
8	198	7.23
8	201	4.75
8	203	1
8	205	2.32
8	208	-1.07
8	210	0.96
8	212	3.24
8	215	1.49
8	217	0.98
8	219	0.81
8	222	-3.85
8	224	2.89
8	226	3.35
8	229	4.65
8	230	1.17
8	231	1
8	233	0.81
8	236	1.48
8	238	0.98
8	240	2.15
8	243	3.73
8	245	1.92
8	247	1.95
8	250	-0.9
8	252	0.55
8	254	-0.9
8	257	0.44
8	259	1
8	261	1.12
8	264	0.7
8	266	0.29
8	268	0.14
9	159	0.81
9	161	1.1
9	163	2.74
9	166	0.91
9	168	0.16
9	170	4.03
9	173	2.1
9	175	1.28
9	177	7.84
9	180	2.65
9	182	2.06
9	184	5.75
9	187	3.07
9	189	0.99
9	191	4.95
9	194	2.46
9	196	1.07
9	198	5.85
9	201	2.15
9	203	-0.75
9	205	1.49
9	208	-3.21
9	210	0
9	212	2.11
9	215	0.25
9	217	-0.49
9	219	0.32
9	222	-3.51
9	224	0.61
9	226	2.59
9	229	1.21
9	230	0.5
9	231	0.67
9	233	0.49
9	236	1.15
9	238	0.82
9	240	3.29
9	243	1.79
9	245	0.89
9	247	1.5
9	250	-1.05
9	252	0.42
9	254	-1.05
9	257	0.44
9	259	0.57
9	261	0.98
9	264	0.42
9	266	0.14
9	268	0.29
10	159	0.97
10	161	0.78
10	163	1.07
10	166	1.37
10	168	0.16
10	170	0.48
10	173	0.97
10	175	1.6
10	177	2.88
10	180	1.82
10	182	2.38
10	184	2.8
10	187	1.88
10	189	0.83
10	191	0.33
10	194	4.46
10	196	1.38
10	198	6.46
10	201	7.82
10	203	2.5
10	205	3.48
10	208	3.48
10	210	12.01
10	212	4.21
10	215	8.15
10	217	12.22
10	219	19.74
10	222	7.53
10	224	10.95
10	226	8.06
10	229	8.1
10	230	4
10	231	3.18
10	233	5.05
10	236	10.54
10	238	3.78
10	240	13.03
10	243	2.38
10	245	0.59
10	247	-0.3
10	250	-1.2
10	252	0.14
10	254	-1.2
10	257	1.16
10	259	1.57
10	261	0.42
10	264	0.14
10	266	0.72
10	268	-0.14
13	159	6.33
13	161	4.23
13	163	5.49
13	166	2.74
13	168	1.78
13	170	5.97
13	173	3.55
13	175	3.68
13	177	9.12
13	180	8.44
13	182	6.97
13	184	9.48
13	187	5.46
13	189	8.91
13	191	3.8
13	194	7.39
13	196	4.45
13	198	12.77
13	201	11.34
13	203	7.76
13	205	8.28
13	208	3.75
13	210	4.32
13	212	8.43
13	215	10.97
13	217	7.83
13	219	14.24
13	222	5.19
13	224	4.87
13	226	5.93
13	229	4.48
13	230	2.33
13	231	2.84
13	233	4.72
13	236	15.78
13	238	12.97
13	240	58.14
13	243	49.03
13	245	42.19
13	247	36.06
13	250	15.78
13	252	14.67
13	254	15.78
13	257	13.24
13	259	6.55
13	261	28.69
13	264	21.47
13	266	17.35
13	268	14.16
14	159	9.9
14	161	8.93
14	163	12.34
14	166	-0.46
14	168	4.7
14	170	10.64
14	173	8.38
14	175	8.64
14	177	8.96
14	180	22.35
14	182	24.71
14	184	41.94
14	187	33.1
14	189	19.97
14	191	21.78
14	194	18.93
14	196	15.94
14	198	21.08
14	201	23.45
14	203	28.03
14	205	18.71
14	208	14.99
14	210	13.45
14	212	12.32
14	215	15.82
14	217	13
14	219	25.24
14	222	9.7
14	224	6.54
14	226	9.28
