"Chl"	"Zoop"	"GPP"	"R"
"3"	5.62	1.42	0.01088	0.03104
"4"	30.11	0.42	0.15648	0.14592
"7"	14.46	-0.25	0.01216	0.00864
"8"	90.14	5.31	0.4688	0.40128
"9"	39.28	8.89	0.53568	0.45248
"10"	0.18	1.02	-0.01536	-0.05248
"13"	-3.15	0.14	-0.02528	-0.01984
"14"	8	1.32	0.00992	0.064
"15"	57.62	4.85	0.0448	0.10464
"16"	16.36	1.01	0.00672	0.06336
